Player,Team,PTS,AST,TRB
Shai Gilgeous-Alexander,OKC,32.7,6.4,5.0
Giannis Antetokounmpo,MIL,30.4,6.5,11.9
Nikola JokiÄ,DEN,29.6,10.2,12.7
Luka DonÄiÄ,2TM,28.2,7.7,8.2
Luka DonÄiÄ,DAL,28.1,7.8,8.3
Luka DonÄiÄ,LAL,28.2,7.5,8.1
Anthony Edwards,MIN,27.6,4.5,5.7
Jayson Tatum,BOS,26.8,6.0,8.7
Kevin Durant,PHO,26.6,4.2,6.0
Tyrese Maxey,PHI,26.3,6.1,3.3
Cade Cunningham,DET,26.1,9.1,6.1
Jalen Brunson,NYK,26.0,7.3,2.9
Paolo Banchero,ORL,25.9,4.8,7.5
Devin Booker,PHO,25.6,7.1,4.1
LaMelo Ball,CHO,25.2,7.4,4.9
Damian Lillard,MIL,24.9,7.1,4.7
Anthony Davis,2TM,24.7,3.5,11.6
Anthony Davis,LAL,25.7,3.4,11.9
Anthony Davis,DAL,20.0,4.4,10.1
Kyrie Irving,DAL,24.7,4.6,4.8
Zion Williamson,NOP,24.6,5.3,7.2
Stephen Curry,GSW,24.5,6.0,4.4
LeBron James,LAL,24.4,8.2,7.8
Karl-Anthony Towns,NYK,24.4,3.1,12.8
Victor Wembanyama,SAS,24.3,3.7,11.0
Franz Wagner,ORL,24.2,4.7,5.7
Trae Young,ATL,24.2,11.6,3.1
Donovan Mitchell,CLE,24.0,5.0,4.5
Cam Thomas,BRK,24.0,3.8,3.3
Tyler Herro,MIA,23.9,5.5,5.2
Joel Embiid,PHI,23.8,4.5,8.2
De'Aaron Fox,2TM,23.5,6.3,4.8
De'Aaron Fox,SAC,25.0,6.1,5.0
De'Aaron Fox,SAS,19.7,6.8,4.3
Zach LaVine,2TM,23.3,4.2,4.3
Zach LaVine,CHI,24.0,4.5,4.8
Zach LaVine,SAC,22.4,3.8,3.5
Ja Morant,MEM,23.2,7.3,4.1
James Harden,LAC,22.8,8.7,5.8
Jaylen Brown,BOS,22.2,4.5,5.8
DeMar DeRozan,SAC,22.2,4.4,3.9
Brandon Ingram,NOP,22.2,5.2,5.6
Jaren Jackson Jr.,MEM,22.2,2.0,5.6
Norman Powell,LAC,21.8,2.1,3.2
Jalen Williams,OKC,21.6,5.1,5.3
Kawhi Leonard,LAC,21.5,3.1,5.9
Jamal Murray,DEN,21.4,6.0,3.9
Trey Murphy III,NOP,21.2,3.5,5.1
RJ Barrett,TOR,21.1,5.4,6.3
CJ McCollum,NOP,21.1,4.1,3.8
Jalen Green,HOU,21.0,3.4,4.6
Brandon Miller,CHO,21.0,3.6,4.9
Darius Garland,CLE,20.6,6.7,2.9
Jordan Poole,WAS,20.5,4.5,3.0
Coby White,CHI,20.4,4.5,3.7
Miles Bridges,CHO,20.3,3.9,7.5
Austin Reaves,LAL,20.2,5.8,4.5
Pascal Siakam,IND,20.2,3.4,6.9
Kristaps PorziÅÄ£is,BOS,19.5,2.1,6.8
Scottie Barnes,TOR,19.3,5.8,7.7
Anfernee Simons,POR,19.3,4.8,2.7
Desmond Bane,MEM,19.2,5.3,6.1
Domantas Sabonis,SAC,19.1,6.0,13.9
Alperen ÅengÃ¼n,HOU,19.1,4.9,10.3
John Collins,UTA,19.0,2.0,8.2
Lauri Markkanen,UTA,19.0,1.5,5.9
Jalen Johnson,ATL,18.9,5.0,10.0
Cameron Johnson,BRK,18.8,3.4,4.3
Julius Randle,MIN,18.7,4.7,7.1
Tyrese Haliburton,IND,18.6,9.2,3.5
Evan Mobley,CLE,18.5,3.2,9.3
Shaedon Sharpe,POR,18.5,2.8,4.5
Nikola VuÄeviÄ,CHI,18.5,3.5,10.1
Collin Sexton,UTA,18.4,4.2,2.7
Michael Porter Jr.,DEN,18.2,2.1,7.0
Bam Adebayo,MIA,18.1,4.3,9.6
Andrew Wiggins,2TM,18.0,2.6,4.5
Andrew Wiggins,GSW,17.6,2.4,4.6
Andrew Wiggins,MIA,19.0,3.3,4.2
OG Anunoby,NYK,18.0,2.2,4.8
Mikal Bridges,NYK,17.6,3.7,3.2
Jaden Ivey,DET,17.6,4.0,4.1
Jimmy Butler,2TM,17.5,5.4,5.4
Jimmy Butler,MIA,17.0,4.8,5.2
Jimmy Butler,GSW,17.9,5.9,5.5
Dejounte Murray,NOP,17.5,7.4,6.5
Malik Monk,SAC,17.2,5.6,3.8
Immanuel Quickley,TOR,17.1,5.8,3.5
De'Andre Hunter,2TM,17.0,1.4,4.0
De'Andre Hunter,ATL,19.0,1.5,3.9
De'Andre Hunter,CLE,14.3,1.3,4.2
Bradley Beal,PHO,17.0,3.7,3.3
Deni Avdija,POR,16.9,3.9,7.3
Keyonte George,UTA,16.8,5.6,3.8
Ivica Zubac,LAC,16.8,2.7,12.6
Derrick White,BOS,16.4,4.8,4.5
Malik Beasley,DET,16.3,1.7,2.6
Devin Vassell,SAS,16.3,2.9,4.0
Jordan Clarkson,UTA,16.2,3.7,3.2
Paul George,PHI,16.2,4.3,5.3
Jalen Suggs,ORL,16.2,3.7,4.0
Bennedict Mathurin,IND,16.1,1.9,5.3
Myles Turner,IND,15.6,1.5,6.5
Christian Braun,DEN,15.4,2.6,5.2
Jonathan Kuminga,GSW,15.3,2.2,4.6
Jared McCain,PHI,15.3,2.6,2.4
Mark Williams,CHO,15.3,2.5,10.2
Kelly Oubre Jr.,PHI,15.1,1.8,6.1
Chet Holmgren,OKC,15.0,2.0,8.0
Kyle Kuzma,2TM,14.8,2.3,5.7
Kyle Kuzma,WAS,15.2,2.5,5.8
Kyle Kuzma,MIL,14.5,2.2,5.6
Stephon Castle,SAS,14.7,4.1,3.7
Aaron Gordon,DEN,14.7,3.2,4.8
P.J. Washington,DAL,14.7,2.3,7.8
Quentin Grimes,2TM,14.6,3.0,4.3
Quentin Grimes,DAL,10.2,2.1,3.8
Quentin Grimes,PHI,21.9,4.5,5.2
Josh Giddey,CHI,14.6,7.2,8.1
Jakob Poeltl,TOR,14.5,2.8,9.6
Deandre Ayton,POR,14.4,1.6,10.2
Gradey Dick,TOR,14.4,1.8,3.6
Jerami Grant,POR,14.4,2.1,3.5
Payton Pritchard,BOS,14.3,3.5,3.8
Naz Reid,MIN,14.2,2.3,6.0
Dyson Daniels,ATL,14.1,4.4,5.9
Tre Mann,CHO,14.1,3.0,2.9
Amen Thompson,HOU,14.1,3.8,8.2
Fred VanVleet,HOU,14.1,5.6,3.7
Dillon Brooks,HOU,14.0,1.7,3.7
Tolu Smith,DET,14.0,0.0,8.0
Klay Thompson,DAL,14.0,2.0,3.4
Bobby Portis,MIL,13.9,2.1,8.4
Tobias Harris,DET,13.7,2.2,5.9
Josh Hart,NYK,13.6,5.9,9.6
Jarrett Allen,CLE,13.5,1.9,9.7
Onyeka Okongwu,ATL,13.4,2.3,8.9
Russell Westbrook,DEN,13.3,6.1,4.9
Naji Marshall,DAL,13.2,3.0,4.8
Dennis SchrÃ¶der,3TM,13.1,5.4,2.6
Dennis SchrÃ¶der,BRK,18.4,6.6,3.0
Dennis SchrÃ¶der,GSW,10.6,4.4,2.3
Dennis SchrÃ¶der,DET,10.8,5.3,2.6
Rui Hachimura,LAL,13.1,1.4,5.0
Brook Lopez,MIL,13.0,1.8,5.0
Alex Sarr,WAS,13.0,2.4,6.5
Moritz Wagner,ORL,12.9,1.4,4.9
Malcolm Brogdon,WAS,12.7,4.1,3.8
Scoot Henderson,POR,12.7,5.1,3.0
Keldon Johnson,SAS,12.7,1.6,4.8
D'Angelo Russell,2TM,12.6,5.1,2.8
D'Angelo Russell,LAL,12.4,4.7,2.8
D'Angelo Russell,BRK,12.9,5.6,2.8
Zaccharie Risacher,ATL,12.6,1.2,3.6
Santi Aldama,MEM,12.5,2.9,6.4
Ty Jerome,CLE,12.5,3.4,2.5
Keegan Murray,SAC,12.4,1.4,6.7
Lonnie Walker IV,PHI,12.4,2.5,3.2
Harrison Barnes,SAS,12.3,1.7,3.8
Bilal Coulibaly,WAS,12.3,3.4,5.0
Ayo Dosunmu,CHI,12.3,4.5,3.5
Daniel Gafford,DAL,12.3,1.4,6.8
Jaden McDaniels,MIN,12.2,2.0,5.7
Jabari Smith Jr.,HOU,12.2,1.1,7.0
Caris LeVert,2TM,12.1,3.4,3.2
