player,team_code,pts_per_game,ast_per_game,trb_per_game,team_name,games_played,team_ppg,opponent_ppg,pace,offensive_rating,defensive_rating,net_rating,win_percentage,strength_of_schedule,pts_per_game_z,ast_per_game_z,trb_per_game_z,all_around_score
Nikola Jokić,DEN,29.6,10.2,12.7,Denver,82.0,120.8,116.9,99.8,119.9,116.1,3.8,0.61,0.04,3.195531187770409,4.47467542963127,3.799934048223795,11.470140665625474
Giannis Antetokounmpo,MIL,30.4,6.5,11.9,Milwaukee,82.0,115.5,113.0,99.3,115.9,113.5,2.4,0.585,-0.25,3.317740880140734,2.4396387606550554,3.4680099962628153,9.225389637058605
Luka Dončić,DAL,28.1,7.8,8.3,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22,2.966388014576048,3.1546516443494004,1.9743517624383988,8.095391421363848
Domantas Sabonis,SAC,19.1,6.0,13.9,Sacramento,82.0,115.7,115.3,98.1,116.8,116.3,0.5,0.488,-0.18,1.591528975409884,2.164633805387999,4.297820126165268,8.053982906963151
Luka Dončić,LAL,28.2,7.5,8.1,LA Lakers,82.0,113.4,112.2,97.6,115.9,114.7,1.2,0.61,0.18,2.9816642261223385,2.9896486711891677,1.8913707494481529,7.862683646759659
Cade Cunningham,DET,26.1,9.1,6.1,Detroit,82.0,115.5,113.6,99.8,115.0,113.1,1.9,0.537,-0.35,2.660863783650234,3.8696645280437467,1.0615606195456995,7.59208893123968
LeBron James,LAL,24.4,8.2,7.8,LA Lakers,82.0,113.4,112.2,97.6,115.9,114.7,1.2,0.61,0.18,2.4011681873632913,3.3746556085630455,1.766899229962785,7.5427230258891225
Trae Young,ATL,24.2,11.6,3.1,Atlanta,82.0,118.2,119.3,102.6,114.6,115.7,-1.1,0.488,-0.27,2.3706157642707097,5.244689304379027,-0.18315457530798035,7.432150493341757
Jayson Tatum,BOS,26.8,6.0,8.7,Boston,82.0,116.3,107.2,95.7,120.6,111.2,9.4,0.744,-1.07,2.7677972644742685,2.164633805387999,2.1403137884188888,7.0727448582811565
Karl-Anthony Towns,NYK,24.4,3.1,12.8,New York,82.0,115.8,111.7,96.7,118.5,114.3,4.2,0.622,-1.05,2.4011681873632913,0.5696050648390738,3.8414245547189183,6.812197806921283
Anthony Davis,LAL,25.7,3.4,11.9,LA Lakers,82.0,113.4,112.2,97.6,115.9,114.7,1.2,0.61,0.18,2.5997589374650705,0.7346080379993073,3.4680099962628153,6.802376971727194
James Harden,LAC,22.8,8.7,5.8,LA Clippers,82.0,112.9,108.2,97.4,115.1,110.3,4.8,0.61,0.03,2.1567488026226402,3.6496605638301016,0.9370891000603316,6.743498466513074
Shai Gilgeous-Alexander,OKC,32.7,6.4,5.0,Oklahoma City,82.0,120.5,107.6,100.0,120.4,107.5,12.9,0.829,-0.52,3.669093745705421,2.3846377696016443,0.6051650480993503,6.658896563406416
